"Gene name","wt.r1.rpkm","wt.r2.rpkm","wt.r3.rpkm","alg1.r1.rpkm","alg1.r2.rpkm","alg1.r3.rpkm"
"2L52.1a.1",372.113,916.934,429.358,1116.24,1860.07,1151.18
"2L52.1a.2",348.791,859.465,402.448,1046.28,1743.48,1079.03
"2L52.1b.1",249.679,485.465,542.108,567.47,1446.2,373.084
"2RSSE.1a.1",5143.16,4231.59,4213.97,11077,13385.2,17018.8
"2RSSE.1b.1",6335.67,5732.49,7294.3,19156.5,17196.8,20166.4
"2RSSE.1c.1",4551.49,4843.33,5346.56,11799.4,12363.3,10494.5
"3R5.1a.1",642.114,261.491,1421.21,1269.67,1834.84,803.832
"3R5.1b.1",1180.18,267.006,2301.88,2391.23,1316.54,820.786
"4R79.1a.1",2841.18,3590.38,2256.09,3139.68,1932.8,3027.01
"4R79.1b.1",32.4407,0,557.084,1496.74,450.971,812.221
"4R79.2a.1",315.049,798.112,0,722.267,920.352,923.331
"4R79.2b.1",207.018,1096.55,0,0,348.828,761.157
"AC3.10.1",403.01,132.118,407.727,518.902,162.86,45.1261
"AC3.10.2",433.452,738.908,438.526,558.098,175.162,48.5348
"AC3.10.3",440.255,144.328,445.408,566.856,177.911,49.2964
"AC3.12.1",3355.3,0,2400.77,0,1822,4038.79
"AC3.1a.1",0,0,0,0,0,272.132
"AC3.1b.1",0,0,0,0,0,293.307
"AC3.2.1",13699.6,17807.7,16831.8,18509.2,19504.1,13952.5
"AC3.3.1",1166,754.079,1478.39,11717.9,15293.9,10829.7
"AC3.4.1",465.216,756.232,3872.07,12281.7,6918.66,6404.98
"AC3.5a.1",48812.8,50669.4,57321.4,43442.5,41844.5,47536.6
"AC3.5b.1",35176.8,29857.6,35974.6,22772.3,27692.5,33149
"AC3.7.1",3771.8,13086.4,9359.65,6208.36,12187.2,14862.2
"AC3.8.1",8122.51,6028.26,7730.09,15000.6,14171.8,15777.2
"AC7.1a.1",0,0,0,1214.16,0,689.85
"AC7.1b.1",0,0,0,1331.13,0,0
"AC7.2a.1",9897.6,12140.9,7971.48,6334.85,6311.56,7146.97
"AC7.2a.2",11192.6,13674.1,9469.54,7381.26,7719.26,8154.06
"AC7.2b.1",4658.49,6382.59,4730.71,4776.78,3510.58,4355.54
"AC7.2c.1",3739.13,5606.53,4349.03,3349.53,3409.91,3923.75
"AC7.2c.2",3729.45,5592,4337.77,3340.85,3401.08,3913.59
"AC7.2d.1",4099.38,6146.69,4646.81,3615.76,3467.26,4301.79
"AC7.3.1",1021.18,2704.54,6270.46,1896.83,2849.91,2413.7
"AC8.10.1",1631.05,3065.63,3062.31,3784.14,4092.62,5927.6
"AC8.11.1",592.564,3062.81,1695.95,1668.78,2589.81,1841.54
"AC8.3.1",1456.2,1648.08,1631.24,3096.12,2589.35,3705.46
"AC8.4.1",592.564,3062.81,1695.95,1668.78,2589.81,1841.54
"AH10.1.1",13571,6875.74,11249,4784.14,4204.28,5409.54
"AH10.4.1",0,0,1328.33,139.047,0,0
"AH6.1.1",0,0,0,299.273,0,0
"AH6.11.1",0,0,0,0,1195.53,0
"AH6.2.1",3296.63,938.812,1143.65,1009.6,501.481,1859.83
"AH6.3.1",12948.7,8553.76,10059.2,7925.03,8620.37,7368.14
"AH6.4.1",0,0,0,0,37.4086,0
"AH6.5.1",7440.33,7701.31,10135.6,9331.76,11479.9,13083.3
"AH6.7.1",0,0,0,0,511.636,0
"AH9.1.1",0,0,554.74,976.93,0,1235.16
"AH9.2.1",1571.18,0,2698.08,2867.76,2100.15,2182.19
"AH9.3.1",7240.43,6184.21,4721.59,3576.16,5903.21,4871.76
"AH9.3.2",6395.27,5462.34,4170.45,2603.81,5214.14,5020.28
"AH9.4.1",0,0,0,498.659,525.863,631.404
"AH9.6.1",1040.98,2720.85,1750.36,2187.01,791.385,2850.65
"B0001.1a.1",16477.5,18424.2,12128.2,15037.6,21471.8,15882.2
"B0001.1a.2",12784.6,16342.6,9222.05,11296.6,14310.2,12437.2
"B0001.1b.1",10288.7,5612.28,8467.5,8613.08,14593.3,8872.6
"B0001.1c.1",10294.5,6631.68,9072.29,11401.5,19269.8,17015.6
"B0001.2.1",14330.9,9865.8,12856.7,12361.2,11393.5,12848.4
"B0001.3a.1",5096.42,7734.9,5267.78,6686.76,7075.05,7555.34
"B0001.3b.1",5256.75,7936.44,5520.63,7078.79,7535.87,8264.89
"B0001.3c.1",4982.75,5512.38,4599.17,6282.44,7163.12,4465.78
"B0001.4a.1",6571.53,7207.66,8002.13,8352.98,8025.57,9182.65
"B0001.4a.2",6059.88,6646.48,7379.09,7702.63,7422.77,8467.7
"B0001.4a.3",6079.6,6668.11,7403.11,7727.7,7446.93,8495.26
"B0001.4c.1",5869.22,4924.25,5265,8574.18,6734.18,6300.3
"B0001.5.1",6209.38,5701.97,8051.4,8983.9,7675.71,8166.99
"B0001.5.2",6903.18,5683.11,8150.56,8926.34,7648.32,9219.57
"B0001.6.1",17645.2,20159,19570.8,20253.9,21801.3,22086.7
"B0001.6.2",20556.8,23972.9,20901.7,22043.5,22054.9,23369.1
"B0001.7a.1",2898.01,3582.3,3558.29,4075.49,4894.26,4466.03
"B0001.7b.1",4639.97,3568.94,3728.95,3867.74,4639.1,3999.27
"B0001.7c.1",2315.92,3062.41,3097.11,4295.66,3537.58,7124.62
"B0001.8a.1",2165.72,2995.04,2208.76,2114.54,2247.71,2651.18
"B0001.8a.2",2048.35,2832.73,2089.06,1999.95,2125.9,2507.51
"B0001.8b.1",1759.87,2987.83,1900.1,1816.05,1705.74,1908.59
"B0001.8c.1",2810.28,866.721,2635.81,833.659,1952.88,3299.33
"B0001.8d.1",1402.57,2329.66,1859.19,1344.3,1620.19,2533.16
"B0001.8d.2",1389.2,2242.93,1344.71,1284.23,1897.52,1738.44
"B0001.8d.3",1028.1,2367.17,1853.04,1075.16,1114.51,1844.31
"B0019.1.1",6037.84,2641.43,5822.64,12723,15582.6,11542.5
"B0019.2.1",3963.63,3152.89,4438.11,6867.88,4524.5,5812.47
"B0019.2.2",3910.54,3110.67,4378.67,6775.9,4463.9,6023.76
"B0024.1.1",178257,127364,165863,36360.1,44424.8,54128.6
"B0024.1.2",173958,122802,161744,36290.9,43640.5,54025.5
"B0024.1.3",177126,125421,166368,36941.2,43620.5,55189.6
"B0024.13.1",18267.7,7454.31,22643,21908.2,13206.5,27477.9
"B0024.14a.1",1550.83,1139.39,1469.98,2327.52,2004.51,2225.45
"B0024.14b.1",3107.47,1303.57,2730.42,2478.51,3816.4,3029.78
"B0024.14d.1",1545.36,1060.9,1383.25,1379.61,1907.14,1947.68
"B0024.14f.1",1584.81,1170.28,1509.83,1314.84,1960.81,2099.51
"B0024.15.1",180.25,0,1538.28,324.012,1138.96,15.7795
"B0024.15.2",138.703,0,1183.71,249.329,1665.23,1226.38
"B0024.2.1",8379.94,8662.75,12871.3,28537.1,29466.9,31437.7
"B0024.3.1",0,1289,897.283,361.616,181.592,0
"B0024.4.1",14399.5,11550.1,11529,16922.2,11311.8,11459.1
"B0024.6a.1",0,0,0,0,62.8083,323.7
"B0024.6b.1",0,0,0,0,62.5772,322.509
"B0024.8a.1",876.518,481.208,353.258,929.464,1119.87,456.479
"B0024.8b.1",434.207,538.211,145.699,430.93,452.416,187.436
"B0024.8c.1",0,667.938,180.817,534.799,432.309,232.614
"B0024.8d.1",0,670.058,181.391,430.016,361.701,233.352
"B0024.9a.1",18290.2,16290.1,22471.5,24184.7,31385,23359.2
"B0024.9a.2",18857.6,15376.9,21795.3,23164.9,29551.8,22049.7
"B0024.9b.1",12534.7,11942.4,15736.9,19195.9,16726.1,14457.2
"B0025.1a.1",1808.32,3016.9,2292.21,2159.06,2070.98,2584.09
"B0025.1b.1",1645.28,2743.98,2118.3,2150.14,2055.77,2215.02
"B0025.1b.2",1739.95,2939.89,2186.18,2207.26,1986.93,2376.34
"B0025.1b.3",1739.33,2942.78,2185.4,2206.47,1986.22,2375.49
"B0025.1b.4",1634.89,2860.89,2215.85,1757.42,2001.53,2386.48
"B0025.1b.5",1700.23,2973.23,2172.66,2086.77,1957.12,2378.41
"B0025.1b.6",1614.22,2942.78,2247.06,1932.16,1968.74,2375.49
"B0025.1c.1",1688.51,3026.64,2216.79,1909.96,2018.66,2592.42
"B0025.2.1",17820.8,16137.7,17291.3,19514.7,20005.6,18910.2
"B0025.2.2",17387.7,15566.2,16489.9,16733.3,18447.4,18038.1
"B0025.4.1",13911.6,11828.6,26888.6,19608.7,29022.5,28764.5
"B0025.5.1",15215.3,13192.4,19181.4,7640.81,7658.96,5145.56
"B0034.1.1",4051.16,747.837,2774.44,16926.9,20238.8,8882.02
"B0034.3a.1",8003.12,9009.68,9875.06,12482.8,13177.6,13616
"B0034.3a.2",8637.85,9283.46,9205.31,12615.9,13947.3,13199.9
"B0034.3b.1",3373.99,4616.09,6859.15,6700.56,6442.16,7401.47
"B0034.3b.2",917.564,1377.33,1453.78,996.952,1353.17,399.572
"B0034.3c.1",3619.62,5177.67,7693.61,7236.34,6325.62,8301.92
"B0034.3c.2",781.693,1588.81,1238.29,970.534,926.609,463.899
"B0034.4.1",1591.06,3791.49,1170.95,1947.56,1349.46,465.112
"B0034.5.1",546.96,2978.28,110.501,0,37.272,1704.04
"B0034.7.1",13083.2,6509.25,2643.17,1578.12,2773.69,8646.15
"B0035.10.1",647446,551891,606538,723290,706094,694127
"B0035.10.2",551689,472315,528767,677181,636646,566518
"B0035.11.1",23964.2,14701.4,20642.4,16221.7,24493.2,15395.9
"B0035.12.1",9178.56,8538,8973.91,8008.48,7880.23,8814.76
"B0035.12.2",9608.4,8512.92,9864.94,8437.75,8644.43,9694.81
"B0035.12.3",9126.67,8489.73,8923.17,7963.2,7835.68,8764.92
"B0035.12.4",9233.19,8647.78,9054.74,8115.18,7848.06,8744.88
"B0035.13.1",57023.2,88501.6,41284.2,36178.7,38568.3,50216.9
"B0035.13.2",56348.3,89371,40268.7,35525,37954.7,51034.1
"B0035.14a.1",18002.1,19708.3,17014.7,18521.1,21180.3,20386
"B0035.14a.2",18638.9,19383.3,17399.2,18215.7,21239.7,20049.8
